tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,16,12,0,4,0,0,0,1.0,0.7575,1.0,1.0,0.7575,1.0,1.0,0.0,4.0,0.001
git-merge-file,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,0.5101,1.0,1.0,0.5101,1.0,1.0,0.0,0.0,0.002
git-merge-file,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,0.5655,1.0,1.0,0.5655,1.0,1.0,0.0,3.0,0.002
git-merge-file,NONE,18,14,0,3,1,0,0,1.0,0.7847,1.0,0.9333,0.7018,0.9881,0.9655,0.0,4.0,0.001
git-merge-file,SYMBOL_CASCADE,4,4,0,0,0,0,0,1.0,0.5101,1.0,1.0,0.5101,1.0,1.0,0.0,0.0,0.001
git-merge-file,all,50,39,0,10,1,0,0,1.0,0.9103,1.0,0.975,0.8712,0.9956,0.9873,0.0,11.0,0.001
jdime,INTRA_BODY,16,0,0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.561
jdime,LOCAL_DECL_EDIT,4,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.561
jdime,MIGRATE_DECL,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.578
jdime,NONE,18,1,0,0,0,17,0,1.0,0.2065,1.0,1.0,0.2065,1.0,1.0,0.0,17.0,0.559
jdime,SYMBOL_CASCADE,4,0,1,0,0,3,0,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,1.0,13.0,0.753
jdime,all,50,1,1,0,0,48,0,0.5,0.0945,0.9055,1.0,0.2065,1.0,0.6667,0.5,58.0,0.578
mastery,INTRA_BODY,16,6,9,1,0,0,0,0.4,0.1982,0.6425,1.0,0.6097,1.0,0.5714,0.6,91.0,1.134
mastery,LOCAL_DECL_EDIT,4,2,2,0,0,0,0,0.5,0.15,0.85,1.0,0.3424,1.0,0.6667,0.5,20.0,0.954
mastery,MIGRATE_DECL,8,1,3,4,0,0,0,0.25,0.0456,0.6994,1.0,0.2065,1.0,0.4,0.75,34.0,1.337
mastery,NONE,18,3,14,1,0,0,0,0.1765,0.0619,0.4103,1.0,0.4385,1.0,0.3,0.8235,141.0,0.93
mastery,SYMBOL_CASCADE,4,0,4,0,0,0,0,0.0,0.0,0.4899,0.0,0.0,0.0,0.0,1.0,40.0,1.003
mastery,all,50,12,32,6,0,0,0,0.2727,0.1635,0.4185,1.0,0.7575,1.0,0.4286,0.7273,326.0,1.068
mergiraf,INTRA_BODY,16,13,0,3,0,0,0,1.0,0.7719,1.0,1.0,0.7719,1.0,1.0,0.0,3.0,0.26
mergiraf,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,0.5101,1.0,1.0,0.5101,1.0,1.0,0.0,0.0,0.22
mergiraf,MIGRATE_DECL,8,5,1,2,0,0,0,0.8333,0.4365,0.9699,1.0,0.5655,1.0,0.9091,0.1667,12.0,0.326
mergiraf,NONE,18,16,1,1,0,0,0,0.9412,0.7302,0.9895,1.0,0.8064,1.0,0.9697,0.0588,11.0,0.231
mergiraf,SYMBOL_CASCADE,4,3,1,0,0,0,0,0.75,0.3006,0.9544,1.0,0.4385,1.0,0.8571,0.25,10.0,0.23
mergiraf,all,50,41,3,6,0,0,0,0.9318,0.8177,0.9765,1.0,0.9143,1.0,0.9647,0.0682,36.0,0.255
spork,INTRA_BODY,16,11,3,2,0,0,0,0.7857,0.5241,0.9243,1.0,0.7412,1.0,0.88,0.2143,32.0,2.807
spork,LOCAL_DECL_EDIT,4,3,1,0,0,0,0,0.75,0.3006,0.9544,1.0,0.4385,1.0,0.8571,0.25,10.0,2.072
spork,MIGRATE_DECL,8,4,2,2,0,0,0,0.6667,0.3,0.9032,1.0,0.5101,1.0,0.8,0.3333,22.0,5.744
spork,NONE,18,11,4,2,1,0,0,0.7333,0.4805,0.891,0.9167,0.6461,0.9851,0.8148,0.2667,43.0,2.455
spork,SYMBOL_CASCADE,4,3,1,0,0,0,0,0.75,0.3006,0.9544,1.0,0.4385,1.0,0.8571,0.25,10.0,2.231
spork,all,50,32,11,6,1,0,0,0.7442,0.5976,0.8507,0.9697,0.8468,0.9946,0.8421,0.2558,117.0,3.045
weave,INTRA_BODY,16,12,0,4,0,0,0,1.0,0.7575,1.0,1.0,0.7575,1.0,1.0,0.0,4.0,0.246
weave,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,0.5101,1.0,1.0,0.5101,1.0,1.0,0.0,0.0,0.236
weave,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,0.5655,1.0,1.0,0.5655,1.0,1.0,0.0,3.0,0.269
weave,NONE,18,15,0,3,0,0,0,1.0,0.7961,1.0,1.0,0.7961,1.0,1.0,0.0,3.0,0.235
weave,SYMBOL_CASCADE,4,4,0,0,0,0,0,1.0,0.5101,1.0,1.0,0.5101,1.0,1.0,0.0,0.0,0.236
weave,all,50,40,0,10,0,0,0,1.0,0.9124,1.0,1.0,0.9124,1.0,1.0,0.0,10.0,0.244
