tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,43,10,1,30,2,0,0,0.9091,0.8333,0.8696,0.0909,42.0,0.023
git-merge-file,LOCAL_DECL_EDIT,19,6,0,12,1,0,0,1.0,0.8571,0.9231,0.0,13.0,0.025
git-merge-file,MIGRATE_DECL,19,3,0,16,0,0,0,1.0,1.0,1.0,0.0,16.0,0.02
git-merge-file,NONE,114,59,1,42,12,0,0,0.9833,0.831,0.9008,0.0167,64.0,0.021
git-merge-file,SYMBOL_CASCADE,45,20,0,24,1,0,0,1.0,0.9524,0.9756,0.0,25.0,0.022
git-merge-file,all,240,98,2,124,16,0,0,0.98,0.8596,0.9159,0.02,160.0,0.022
jdime,INTRA_BODY,43,0,1,0,0,42,0,0.0,0.0,0.0,1.0,52.0,2.002
jdime,LOCAL_DECL_EDIT,19,1,2,3,0,13,0,0.3333,1.0,0.5,0.6667,36.0,2.245
jdime,MIGRATE_DECL,19,0,1,0,0,18,0,0.0,0.0,0.0,1.0,28.0,1.942
jdime,NONE,114,13,2,0,0,99,0,0.8667,1.0,0.9286,0.1333,119.0,2.035
jdime,SYMBOL_CASCADE,45,1,2,1,0,41,0,0.3333,1.0,0.5,0.6667,62.0,1.978
jdime,all,240,15,8,4,0,213,0,0.6522,1.0,0.7895,0.3478,297.0,2.027
mastery,INTRA_BODY,43,4,32,7,0,0,0,0.1111,1.0,0.2,0.8889,327.0,3.567
mastery,LOCAL_DECL_EDIT,19,1,12,6,0,0,0,0.0769,1.0,0.1429,0.9231,126.0,3.112
mastery,MIGRATE_DECL,19,0,14,5,0,0,0,0.0,0.0,0.0,1.0,145.0,3.61
mastery,NONE,114,40,66,7,1,0,0,0.3774,0.9756,0.5442,0.6226,668.0,2.934
mastery,SYMBOL_CASCADE,45,9,30,6,0,0,0,0.2308,1.0,0.375,0.7692,306.0,3.077
mastery,all,240,54,154,31,1,0,0,0.2596,0.9818,0.4106,0.7404,1572.0,3.142
mergiraf,INTRA_BODY,43,26,12,5,0,0,0,0.6842,1.0,0.8125,0.3158,125.0,0.473
mergiraf,LOCAL_DECL_EDIT,19,7,6,5,1,0,0,0.5385,0.875,0.6667,0.4615,66.0,0.443
mergiraf,MIGRATE_DECL,19,7,6,6,0,0,0,0.5385,1.0,0.7,0.4615,66.0,0.514
mergiraf,NONE,114,88,16,8,2,0,0,0.8462,0.9778,0.9072,0.1538,170.0,0.44
mergiraf,SYMBOL_CASCADE,45,27,10,7,1,0,0,0.7297,0.9643,0.8308,0.2703,108.0,0.439
mergiraf,all,240,155,50,31,4,0,0,0.7561,0.9748,0.8516,0.2439,535.0,0.452
spork,INTRA_BODY,43,18,24,1,0,0,0,0.4286,1.0,0.6,0.5714,241.0,7.235
spork,LOCAL_DECL_EDIT,19,1,12,4,2,0,0,0.0769,0.3333,0.125,0.9231,126.0,6.214
spork,MIGRATE_DECL,19,3,14,2,0,0,0,0.1765,1.0,0.3,0.8235,142.0,7.354
spork,NONE,114,55,50,3,6,0,0,0.5238,0.9016,0.6627,0.4762,509.0,5.925
spork,SYMBOL_CASCADE,45,17,25,3,0,0,0,0.4048,1.0,0.5763,0.5952,253.0,6.136
spork,all,240,94,125,13,8,0,0,0.4292,0.9216,0.5857,0.5708,1271.0,6.335
weave,INTRA_BODY,43,16,3,23,1,0,0,0.8421,0.9412,0.8889,0.1579,54.0,0.404
weave,LOCAL_DECL_EDIT,19,6,5,8,0,0,0,0.5455,1.0,0.7059,0.4545,58.0,0.406
weave,MIGRATE_DECL,19,2,0,17,0,0,0,1.0,1.0,1.0,0.0,17.0,0.376
weave,NONE,114,63,4,41,6,0,0,0.9403,0.913,0.9265,0.0597,87.0,0.388
weave,SYMBOL_CASCADE,45,22,1,21,1,0,0,0.9565,0.9565,0.9565,0.0435,32.0,0.409
weave,all,240,109,13,110,8,0,0,0.8934,0.9316,0.9121,0.1066,248.0,0.395
