tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,43,10,1,32,0,0,0,0.9091,1.0,0.9524,0.0909,42.0,0.023
git-merge-file,LOCAL_DECL_EDIT,19,6,0,13,0,0,0,1.0,1.0,1.0,0.0,13.0,0.025
git-merge-file,MIGRATE_DECL,19,3,0,16,0,0,0,1.0,1.0,1.0,0.0,16.0,0.02
git-merge-file,NONE,114,58,2,52,2,0,0,0.9667,0.9667,0.9667,0.0333,74.0,0.021
git-merge-file,SYMBOL_CASCADE,45,19,1,25,0,0,0,0.95,1.0,0.9744,0.05,35.0,0.022
git-merge-file,all,240,96,4,138,2,0,0,0.96,0.9796,0.9697,0.04,180.0,0.022
jdime,INTRA_BODY,43,0,1,0,0,42,0,0.0,0.0,0.0,1.0,52.0,2.002
jdime,LOCAL_DECL_EDIT,19,0,3,3,0,13,0,0.0,0.0,0.0,1.0,46.0,2.245
jdime,MIGRATE_DECL,19,0,1,0,0,18,0,0.0,0.0,0.0,1.0,28.0,1.942
jdime,NONE,114,0,15,0,0,99,0,0.0,0.0,0.0,1.0,249.0,2.035
jdime,SYMBOL_CASCADE,45,0,3,1,0,41,0,0.0,0.0,0.0,1.0,72.0,1.978
jdime,all,240,0,23,4,0,213,0,0.0,0.0,0.0,1.0,447.0,2.027
mastery,INTRA_BODY,43,0,36,7,0,0,0,0.0,0.0,0.0,1.0,367.0,3.567
mastery,LOCAL_DECL_EDIT,19,0,13,6,0,0,0,0.0,0.0,0.0,1.0,136.0,3.112
mastery,MIGRATE_DECL,19,0,14,5,0,0,0,0.0,0.0,0.0,1.0,145.0,3.61
mastery,NONE,114,0,106,8,0,0,0,0.0,0.0,0.0,1.0,1068.0,2.934
mastery,SYMBOL_CASCADE,45,0,39,6,0,0,0,0.0,0.0,0.0,1.0,396.0,3.077
mastery,all,240,0,208,32,0,0,0,0.0,0.0,0.0,1.0,2112.0,3.142
mergiraf,INTRA_BODY,43,19,19,5,0,0,0,0.5,1.0,0.6667,0.5,195.0,0.473
mergiraf,LOCAL_DECL_EDIT,19,7,6,6,0,0,0,0.5385,1.0,0.7,0.4615,66.0,0.443
mergiraf,MIGRATE_DECL,19,4,9,6,0,0,0,0.3077,1.0,0.4706,0.6923,96.0,0.514
mergiraf,NONE,114,75,29,10,0,0,0,0.7212,1.0,0.838,0.2788,300.0,0.44
mergiraf,SYMBOL_CASCADE,45,22,15,8,0,0,0,0.5946,1.0,0.7458,0.4054,158.0,0.439
mergiraf,all,240,127,78,35,0,0,0,0.6195,1.0,0.7651,0.3805,815.0,0.452
spork,INTRA_BODY,43,0,42,1,0,0,0,0.0,0.0,0.0,1.0,421.0,7.235
spork,LOCAL_DECL_EDIT,19,0,13,6,0,0,0,0.0,0.0,0.0,1.0,136.0,6.214
spork,MIGRATE_DECL,19,0,17,2,0,0,0,0.0,0.0,0.0,1.0,172.0,7.354
spork,NONE,114,0,105,9,0,0,0,0.0,0.0,0.0,1.0,1059.0,5.925
spork,SYMBOL_CASCADE,45,1,41,3,0,0,0,0.0238,1.0,0.0465,0.9762,413.0,6.136
spork,all,240,1,218,21,0,0,0,0.0046,1.0,0.0091,0.9954,2201.0,6.335
weave,INTRA_BODY,43,10,9,24,0,0,0,0.5263,1.0,0.6897,0.4737,114.0,0.404
weave,LOCAL_DECL_EDIT,19,5,6,8,0,0,0,0.4545,1.0,0.625,0.5455,68.0,0.406
weave,MIGRATE_DECL,19,1,1,17,0,0,0,0.5,1.0,0.6667,0.5,27.0,0.376
weave,NONE,114,50,17,47,0,0,0,0.7463,1.0,0.8547,0.2537,217.0,0.388
weave,SYMBOL_CASCADE,45,15,8,22,0,0,0,0.6522,1.0,0.7895,0.3478,102.0,0.409
weave,all,240,81,41,118,0,0,0,0.6639,1.0,0.798,0.3361,528.0,0.395
