merge_id,n_files,n_diverged,file_paths,suspected_category(1-7|none),rationale
apache_commons-lang__53184369d0,1,0,src/main/java/org/apache/commons/lang3/builder/ReflectionToStringBuilder.java,,
apache_olingo-odata4__820b462f49,1,0,lib/client-core/src/main/java/org/apache/olingo/client/core/serialization/JsonSerializer.java,,
apache_olingo-odata4__cf731c2cb8,2,0,lib/client-core/src/main/java/org/apache/olingo/client/core/serialization/JsonSerializer.java;lib/client-core/src/test/java/org/apache/olingo/client/core/JSONTest.java,,
apache_shiro__13806fc623,1,0,web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,,
azuread_azure-activedirectory-library-for-java__d3f143872b,1,0,src/test/java/com/microsoft/aad/adal4j/AuthenticationContextTest.java,,
bguerout_jongo__3aaaf0e4c7,1,0,src/main/java/org/jongo/Jongo.java,,
blockchain_api-v1-client-java__abdf54e6ab,1,0,src/main/java/info/blockchain/api/HttpClient.java,,
blockchain_api-v1-client-java__e349598f95,1,0,src/main/java/info/blockchain/api/HttpClient.java,,
buddycloud_buddycloud-server-java__33ec3ec7cd,2,0,src/main/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/set/UnsubscribeSet.java;src/test/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/set/UnsubscribeSetTest.java,,
buddycloud_buddycloud-server-java__43c8b054e9,2,0,src/main/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/set/NodeDelete.java;src/test/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/get/SubscriptionsGetTest.java,,
buddycloud_buddycloud-server-java__48e4675ee2,2,0,src/main/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/get/RepliesGet.java;src/test/java/org/buddycloud/channelserver/packetprocessor/iq/namespace/pubsub/get/RepliesGetTest.java,,
buschmais_extended-objects__46ec306cf6,1,0,neo4j/remote/src/main/java/com/buschmais/xo/neo4j/remote/impl/datastore/RemoteDatastoreEntityManager.java,,
camsys_onebusaway-application-modules__915e2f3ffe,1,0,onebusaway-transit-data-federation/src/main/java/org/onebusaway/transit_data_federation/impl/beans/StopWithArrivalsAndDeparturesBeanServiceImpl.java,,
camsys_onebusaway-application-modules__e779e9fce1,1,0,onebusaway-transit-data/src/main/java/org/onebusaway/transit_data/model/ArrivalsAndDeparturesQueryBean.java,,
clojure_clojure__77342d2e35,1,0,src/jvm/clojure/lang/Compiler.java,,
cloudfoundry_cf-java-client__80d0a0dff9,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/serviceadmin/DefaultServiceAdmin.java,,
cloudfoundry_cf-java-client__933add90ad,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/useradmin/DefaultUserAdmin.java,,
cloudfoundry_cf-java-client__9f6b79e294,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/applications/DefaultApplications.java,,
