arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
pos,ahome-it_lienzo-core__bf4b253816,ahome-it_lienzo-core__bf4b253816__src_main_java_com_ait_lienzo_client_core_shape_wires_WiresShape.java,src/main/java/com/ait/lienzo/client/core/shape/wires/WiresShape.java,clean,CLEAN,FLAG,CLEAN,CLEAN,FLAG,FLAG,66.426
pos,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e__src_main_java_com_alesaudate_samples_springjersey_example_People.java,src/main/java/com/alesaudate/samples/springjersey/example/People.java,conflict,,,,,,DIVERGED,0.26
pos,apache_commons-lang__53184369d0,apache_commons-lang__53184369d0__src_main_java_org_apache_commons_lang3_builder_ReflectionToStringBuilder.java,src/main/java/org/apache/commons/lang3/builder/ReflectionToStringBuilder.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.049
pos,apache_olingo-odata4__820b462f49,apache_olingo-odata4__820b462f49__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,lib/client-core/src/main/java/org/apache/olingo/client/core/serialization/JsonSerializer.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.923
pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,lib/client-core/src/main/java/org/apache/olingo/client/core/serialization/JsonSerializer.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.114
pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_test_java_org_apache_olingo_client_core_JSONTest.java,lib/client-core/src/test/java/org/apache/olingo/client/core/JSONTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,112.623
pos,apache_shiro__13806fc623,apache_shiro__13806fc623__web_src_test_java_org_apache_shiro_web_mgt_CookieRememberMeManagerTest.java,web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.849
pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_PassingTestAcceptanceTest.java,acceptance-tests/src/test/java/me/atam/atam4jsampleapp/PassingTestAcceptanceTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.398
pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_testsupport_AcceptanceTest.java,acceptance-tests/src/test/java/me/atam/atam4jsampleapp/testsupport/AcceptanceTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,FLAG,FLAG,64.451
pos,azuread_azure-activedirectory-library-for-java__d3f143872b,azuread_azure-activedirectory-library-for-java__d3f143872b__src_test_java_com_microsoft_aad_adal4j_AuthenticationContextTest.java,src/test/java/com/microsoft/aad/adal4j/AuthenticationContextTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.438
pos,bedatadriven_jackson-datatype-jts__1416f1af06,bedatadriven_jackson-datatype-jts__1416f1af06__src_main_java_com_bedatadriven_jackson_datatype_jts_GeometryDeserializer.java,src/main/java/com/bedatadriven/jackson/datatype/jts/GeometryDeserializer.java,conflict,,,,,,DIVERGED,0.281
pos,bguerout_jongo__3aaaf0e4c7,bguerout_jongo__3aaaf0e4c7__src_main_java_org_jongo_Jongo.java,src/main/java/org/jongo/Jongo.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.845
pos,blockchain_api-v1-client-java__abdf54e6ab,blockchain_api-v1-client-java__abdf54e6ab__src_main_java_info_blockchain_api_HttpClient.java,src/main/java/info/blockchain/api/HttpClient.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.581
pos,blockchain_api-v1-client-java__e349598f95,blockchain_api-v1-client-java__e349598f95__src_main_java_info_blockchain_api_HttpClient.java,src/main/java/info/blockchain/api/HttpClient.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.267
