commit,class,category
50d8e43eb5917c63abfbcdec1e68e510943f325a,org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,none-of-7
4c506dce43775704919d084f0acfba86d251bf4a,org.opentripplanner.routing.spt.MultiShortestPathTree,2-cfi-short-circuit
69ff2669eec265e25721dbc27cb00f6c381d0b41,org.antlr.v4.codegen.target.Python2Target,1-atomic-updates
69ff2669eec265e25721dbc27cb00f6c381d0b41,org.antlr.v4.codegen.target.Python3Target,1-atomic-updates
20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,io.cloudslang.lang.api.SlangImpl,1-atomic-updates
6fdb8f27b53c5d69b552341a459d0e1fa610f68d,edu.uci.ics.crawler4j.parser.Parser,2-cfi-short-circuit
3d4f99516ba3177f7d88a1f600923138a8b77cc8,org.elasticsearch.river.mongodb.Slurper,3-dfi-stale-read
4d9ba9d221d879507440feb084fa7521b95111ec,fitnesse.testsystems.slim.tables.SlimTableFactory,1-atomic-updates
3f7d2c71dbbbb289c684f339874eed8ac2747fa0,org.jsoup.helper.HttpConnection,2-cfi-short-circuit
a44e18aa3c1fcd25a68a5965f9490d8f7d026509,org.jsoup.nodes.TextNode,none-of-7
a8b6982de98ff76ef254031d7152fff57f6bf941,org.jsoup.helper.HttpConnection,2-cfi-short-circuit
afb82cb3e890d075e1786cb900ec18a87fc24758,com.squareup.moshi.ClassJsonAdapter,2-cfi-short-circuit
193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,none-of-7
867b917c43c32acbdcac55767e7f04334006c866,org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,2-cfi-short-circuit
71f622ce51031b152a0be6ad5facfb27a654bf5a,retrofit.RequestBuilder,1-atomic-updates
ad2be678831b3b060229fd936e3908110162b7ac,org.apache.storm.kafka.spout.KafkaSpoutConfig,6-rename-family
e825a7fdc6ef688f1253b93d2cb236e710acfc56,com.github.kongchen.swagger.docgen.reader.AbstractReader,1-atomic-updates
