merge_id,n_files,n_diverged,file_paths,suspected_category(1-7|none),rationale
Activiti__50d8e43eb5__org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,1,0,org/activiti/engine/impl/persistence/entity/DeploymentEntityManager.java,,
OpenTripPlanner__4c506dce43__org.opentripplanner.routing.spt.MultiShortestPathTree,1,0,org/opentripplanner/routing/spt/MultiShortestPathTree.java,,
antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python2Target,1,0,org/antlr/v4/codegen/target/Python2Target.java,,
antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python3Target,1,0,org/antlr/v4/codegen/target/Python3Target.java,,
cloud-slang__20bac30d9b__io.cloudslang.lang.api.SlangImpl,1,0,io/cloudslang/lang/api/SlangImpl.java,,
crawler4j__6fdb8f27b5__edu.uci.ics.crawler4j.parser.Parser,1,0,edu/uci/ics/crawler4j/parser/Parser.java,,
elasticsearch-river-mongodb__3d4f99516b__org.elasticsearch.river.mongodb.Slurper,1,0,org/elasticsearch/river/mongodb/Slurper.java,,
fitnesse__4d9ba9d221__fitnesse.testsystems.slim.tables.SlimTableFactory,1,0,fitnesse/testsystems/slim/tables/SlimTableFactory.java,,
jsoup__3f7d2c71db__org.jsoup.helper.HttpConnection,1,0,org/jsoup/helper/HttpConnection.java,,
jsoup__a44e18aa3c__org.jsoup.nodes.TextNode,1,0,org/jsoup/nodes/TextNode.java,,
jsoup__a8b6982de9__org.jsoup.helper.HttpConnection,1,0,org/jsoup/helper/HttpConnection.java,,
moshi__afb82cb3e8__com.squareup.moshi.ClassJsonAdapter,1,0,com/squareup/moshi/ClassJsonAdapter.java,,
netty__193acdb36c__org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,1,0,org/jboss/netty/handler/codec/frame/LengthFieldBasedFrameDecoder.java,,
resty-gwt__867b917c43__org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,1,0,org/fusesource/restygwt/rebind/DirectRestServiceInterfaceClassCreator.java,,
retrofit__71f622ce51__retrofit.RequestBuilder,1,0,retrofit/RequestBuilder.java,,
