arm,merge_id,scenario_id,file_path,merge_outcome,category,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
pos,Activiti__50d8e43eb5__org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,Activiti__50d8e43eb5__org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,org/activiti/engine/impl/persistence/entity/DeploymentEntityManager.java,clean,none-of-7,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.572
pos,OpenTripPlanner__4c506dce43__org.opentripplanner.routing.spt.MultiShortestPathTree,OpenTripPlanner__4c506dce43__org.opentripplanner.routing.spt.MultiShortestPathTree,org/opentripplanner/routing/spt/MultiShortestPathTree.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.928
pos,antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python2Target,antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python2Target,org/antlr/v4/codegen/target/Python2Target.java,clean,1-atomic-updates,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.878
pos,antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python3Target,antlr4__69ff2669ee__org.antlr.v4.codegen.target.Python3Target,org/antlr/v4/codegen/target/Python3Target.java,clean,1-atomic-updates,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.443
pos,cloud-slang__20bac30d9b__io.cloudslang.lang.api.SlangImpl,cloud-slang__20bac30d9b__io.cloudslang.lang.api.SlangImpl,io/cloudslang/lang/api/SlangImpl.java,clean,1-atomic-updates,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.769
pos,crawler4j__6fdb8f27b5__edu.uci.ics.crawler4j.parser.Parser,crawler4j__6fdb8f27b5__edu.uci.ics.crawler4j.parser.Parser,edu/uci/ics/crawler4j/parser/Parser.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.88
pos,elasticsearch-river-mongodb__3d4f99516b__org.elasticsearch.river.mongodb.Slurper,elasticsearch-river-mongodb__3d4f99516b__org.elasticsearch.river.mongodb.Slurper,org/elasticsearch/river/mongodb/Slurper.java,clean,3-dfi-stale-read,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,92.413
pos,fitnesse__4d9ba9d221__fitnesse.testsystems.slim.tables.SlimTableFactory,fitnesse__4d9ba9d221__fitnesse.testsystems.slim.tables.SlimTableFactory,fitnesse/testsystems/slim/tables/SlimTableFactory.java,clean,1-atomic-updates,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.683
pos,jsoup__3f7d2c71db__org.jsoup.helper.HttpConnection,jsoup__3f7d2c71db__org.jsoup.helper.HttpConnection,org/jsoup/helper/HttpConnection.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,91.392
pos,jsoup__a44e18aa3c__org.jsoup.nodes.TextNode,jsoup__a44e18aa3c__org.jsoup.nodes.TextNode,org/jsoup/nodes/TextNode.java,clean,none-of-7,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.402
pos,jsoup__a8b6982de9__org.jsoup.helper.HttpConnection,jsoup__a8b6982de9__org.jsoup.helper.HttpConnection,org/jsoup/helper/HttpConnection.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,95.65
pos,moshi__afb82cb3e8__com.squareup.moshi.ClassJsonAdapter,moshi__afb82cb3e8__com.squareup.moshi.ClassJsonAdapter,com/squareup/moshi/ClassJsonAdapter.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,85.377
pos,netty__193acdb36c__org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,netty__193acdb36c__org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,org/jboss/netty/handler/codec/frame/LengthFieldBasedFrameDecoder.java,clean,none-of-7,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.375
pos,resty-gwt__867b917c43__org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,resty-gwt__867b917c43__org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,org/fusesource/restygwt/rebind/DirectRestServiceInterfaceClassCreator.java,clean,2-cfi-short-circuit,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.766
pos,retrofit__71f622ce51__retrofit.RequestBuilder,retrofit__71f622ce51__retrofit.RequestBuilder,retrofit/RequestBuilder.java,clean,1-atomic-updates,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.365
pos,storm__ad2be67883__org.apache.storm.kafka.spout.KafkaSpoutConfig,storm__ad2be67883__org.apache.storm.kafka.spout.KafkaSpoutConfig,org/apache/storm/kafka/spout/KafkaSpoutConfig.java,conflict,6-rename-family,,,,,,DIVERGED,0.246
pos,swagger-maven-plugin__e825a7fdc6__com.github.kongchen.swagger.docgen.reader.AbstractReader,swagger-maven-plugin__e825a7fdc6__com.github.kongchen.swagger.docgen.reader.AbstractReader,com/github/kongchen/swagger/docgen/reader/AbstractReader.java,conflict,1-atomic-updates,,,,,,DIVERGED,0.279
ctl,Activiti__bf46684ba6__org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,Activiti__bf46684ba6__org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,org/activiti/engine/impl/bpmn/behavior/UserTaskActivityBehavior.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.214
ctl,HikariCP__1bca94af9e__com.zaxxer.hikari.HikariConfig,HikariCP__1bca94af9e__com.zaxxer.hikari.HikariConfig,com/zaxxer/hikari/HikariConfig.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.967
ctl,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.LineChartActivity1,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.LineChartActivity1,com/xxmassdeveloper/mpchartexample/LineChartActivity1.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,88.123
ctl,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.LineChartActivity2,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.LineChartActivity2,com/xxmassdeveloper/mpchartexample/LineChartActivity2.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,87.422
ctl,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.RadarChartActivitry,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.RadarChartActivitry,com/xxmassdeveloper/mpchartexample/RadarChartActivitry.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.303
ctl,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative,MPAndroidChart__9297923f09__com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative,com/xxmassdeveloper/mpchartexample/StackedBarActivityNegative.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,85.241
ctl,MPAndroidChart__9531ba6989__com.github.mikephil.charting.renderer.PieChartRenderer,MPAndroidChart__9531ba6989__com.github.mikephil.charting.renderer.PieChartRenderer,com/github/mikephil/charting/renderer/PieChartRenderer.java,conflict,none,,,,,,DIVERGED,0.292
ctl,MPAndroidChart__af114d180d__com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment,MPAndroidChart__af114d180d__com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment,com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.675
ctl,RxJava__1c47b0cb26__rx.concurrency.TestScheduler,RxJava__1c47b0cb26__rx.concurrency.TestScheduler,rx/concurrency/TestScheduler.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.01
ctl,RxJava__a40a4130ed__rx.internal.operators.OperatorMulticast,RxJava__a40a4130ed__rx.internal.operators.OperatorMulticast,rx/internal/operators/OperatorMulticast.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,80.518
ctl,SimianArmy__345ad9513a__com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,SimianArmy__345ad9513a__com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,com/netflix/simianarmy/basic/janitor/BasicJanitorMonkeyContext.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,89.082
ctl,SimianArmy__c39c19bc6b__com.netflix.simianarmy.basic.BasicSimianArmyContext,SimianArmy__c39c19bc6b__com.netflix.simianarmy.basic.BasicSimianArmyContext,com/netflix/simianarmy/basic/BasicSimianArmyContext.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.991
ctl,alluxio__dafe76c900__tachyon.hadoop.HdfsFileInputStream,alluxio__dafe76c900__tachyon.hadoop.HdfsFileInputStream,tachyon/hadoop/HdfsFileInputStream.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.857
ctl,atmosphere__ffc0c6e274__org.atmosphere.cpr.AtmosphereConfig,atmosphere__ffc0c6e274__org.atmosphere.cpr.AtmosphereConfig,org/atmosphere/cpr/AtmosphereConfig.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.031
ctl,cloud-slang__20bac30d9b__io.cloudslang.lang.api.SlangImplTest,cloud-slang__20bac30d9b__io.cloudslang.lang.api.SlangImplTest,io/cloudslang/lang/api/SlangImplTest.java,conflict,none,,,,,,DIVERGED,0.295
ctl,cucumber-jvm__4505c156b6__cuke4duke.internal.java.JavaLanguage,cucumber-jvm__4505c156b6__cuke4duke.internal.java.JavaLanguage,cuke4duke/internal/java/JavaLanguage.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.061
ctl,dropwizard__ddd15a681b__io.dropwizard.setup.Bootstrap.Bootstrap,dropwizard__ddd15a681b__io.dropwizard.setup.Bootstrap.Bootstrap,io/dropwizard/setup/Bootstrap.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,80.369
ctl,druid__05168808c2__com.metamx.druid.loading.S3SegmentPusher,druid__05168808c2__com.metamx.druid.loading.S3SegmentPusher,com/metamx/druid/loading/S3SegmentPusher.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.957
ctl,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.Indexer,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.Indexer,org/elasticsearch/river/mongodb/Indexer.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,90.141
ctl,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.MongoDBRiverDefinition,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.MongoDBRiverDefinition,org/elasticsearch/river/mongodb/MongoDBRiverDefinition.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,94.957
ctl,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.Slurper,elasticsearch-river-mongodb__6b6ce8e851__org.elasticsearch.river.mongodb.Slurper,org/elasticsearch/river/mongodb/Slurper.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,93.097
ctl,elasticsearch__0404db65e3__org.elasticsearch.test.ESSingleNodeTestCase,elasticsearch__0404db65e3__org.elasticsearch.test.ESSingleNodeTestCase,org/elasticsearch/test/ESSingleNodeTestCase.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.248
