arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
pos,apache_shiro__13806fc623,apache_shiro__13806fc623__web_src_test_java_org_apache_shiro_web_mgt_CookieRememberMeManagerTest.java,web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.226
pos,blockchain_api-v1-client-java__abdf54e6ab,blockchain_api-v1-client-java__abdf54e6ab__src_main_java_info_blockchain_api_HttpClient.java,src/main/java/info/blockchain/api/HttpClient.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.033
pos,camsys_onebusaway-application-modules__915e2f3ffe,camsys_onebusaway-application-modules__915e2f3ffe__onebusaway-transit-data-federation_src_main_java_org_onebusaway_transit_data_federation_impl_beans_StopWithArrivalsAndDeparturesBeanServiceImpl.java,onebusaway-transit-data-federation/src/main/java/org/onebusaway/transit_data_federation/impl/beans/StopWithArrivalsAndDeparturesBeanServiceImpl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.068
pos,clojure_clojure__77342d2e35,clojure_clojure__77342d2e35__src_jvm_clojure_lang_Compiler.java,src/jvm/clojure/lang/Compiler.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,131.681
pos,cloudfoundry_cf-java-client__80d0a0dff9,cloudfoundry_cf-java-client__80d0a0dff9__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_serviceadmin_DefaultServiceAdmin.java,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/serviceadmin/DefaultServiceAdmin.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.149
pos,cloudfoundry_cf-java-client__9f6b79e294,cloudfoundry_cf-java-client__9f6b79e294__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_applications_DefaultApplications.java,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/applications/DefaultApplications.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,89.602
pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_main_java_de_slackspace_openkeepass_KeePassDatabase.java,src/main/java/de/slackspace/openkeepass/KeePassDatabase.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.383
pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_test_java_de_slackspace_openkeepass_reader_KeepassDatabaseReaderTest.java,src/test/java/de/slackspace/openkeepass/reader/KeepassDatabaseReaderTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.857
pos,datastax_java-driver__3eb34e6785,datastax_java-driver__3eb34e6785__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,driver-core/src/main/java/com/datastax/driver/core/TableMetadata.java,conflict,,,,,,DIVERGED,0.38
pos,erudika_para__a9e67cc8b3,erudika_para__a9e67cc8b3__para-server_src_main_java_com_erudika_para_aop_IndexAndCacheAspect.java,para-server/src/main/java/com/erudika/para/aop/IndexAndCacheAspect.java,clean,CLEAN,FLAG,CLEAN,CLEAN,FLAG,FLAG,82.06
pos,jacquesberger_jsonparsingexample__ac521954c2,jacquesberger_jsonparsingexample__ac521954c2__src_main_java_org_jberger_jsonparsingexample_json_JSON.java,src/main/java/org/jberger/jsonparsingexample/json/JSON.java,clean,CLEAN,FLAG,CLEAN,CLEAN,CLEAN,FLAG,64.993
pos,javaparser_javaparser__a23c6aa3b8,javaparser_javaparser__a23c6aa3b8__javaparser-testing_src_test_java_com_github_javaparser_bdd_steps_DumpingSteps.java,javaparser-testing/src/test/java/com/github/javaparser/bdd/steps/DumpingSteps.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,63.13
pos,jcabi_jcabi-http__0c63dd0c75,jcabi_jcabi-http__0c63dd0c75__src_main_java_com_jcabi_http_mock_MkQueryMatchers.java,src/main/java/com/jcabi/http/mock/MkQueryMatchers.java,conflict,,,,,,DIVERGED,0.296
pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_Native.java,src/main/java/jnr/unixsocket/Native.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.32
pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_UnixSocketChannel.java,src/main/java/jnr/unixsocket/UnixSocketChannel.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,63.961
pos,kaazing_robot__084cc0b426,kaazing_robot__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,specification/wse/src/test/java/org/kaazing/specification/wse/data/BinaryAsEscapedTextIT.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,61.869
pos,mikera_vectorz__d93ef1b341,mikera_vectorz__d93ef1b341__src_test_java_mikera_matrixx_TestMatrices.java,src/test/java/mikera/matrixx/TestMatrices.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.45
pos,mitre_http-proxy-servlet__b7a68118f2,mitre_http-proxy-servlet__b7a68118f2__src_main_java_org_mitre_dsmiley_httpproxy_ProxyServlet.java,src/main/java/org/mitre/dsmiley/httpproxy/ProxyServlet.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.088
pos,movsim_movsim__00d5222b61,movsim_movsim__00d5222b61__src_main_java_org_movsim_simulator_roadSection_impl_RoadSectionImpl.java,src/main/java/org/movsim/simulator/roadSection/impl/RoadSectionImpl.java,conflict,,,,,,DIVERGED,0.351
pos,named-data_jndn__3d47402192,named-data_jndn__3d47402192__src_net_named_data_jndn_NetworkNack.java,src/net/named_data/jndn/NetworkNack.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,62.096
