merge_id,n_files,n_diverged,baseline_status,baseline_reason,experimental_status,experimental_reason,experimental_flag_lanes
ahome-it_lienzo-core__bf4b253816,1,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference;RM2RenameConflict
alesaudate_kickstart-springjerseyhibernate__feb36bfc8e,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
apache_commons-lang__53184369d0,1,0,PASSED,,PASSED,,
apache_olingo-odata4__820b462f49,1,0,PASSED,,PASSED,,
apache_olingo-odata4__cf731c2cb8,2,0,PASSED,,PASSED,,
apache_shiro__13806fc623,1,0,PASSED,,PASSED,,
atam4j_atam4j__71fcecb071,2,0,BLOCKED,flag,BLOCKED,flag,ImportPruneUsage;RM2RenameConflict
azuread_azure-activedirectory-library-for-java__d3f143872b,1,0,PASSED,,PASSED,,
bedatadriven_jackson-datatype-jts__1416f1af06,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
bguerout_jongo__3aaaf0e4c7,1,0,PASSED,,PASSED,,
blockchain_api-v1-client-java__abdf54e6ab,1,0,PASSED,,PASSED,,
blockchain_api-v1-client-java__e349598f95,1,0,PASSED,,PASSED,,
buddycloud_buddycloud-server-java__33ec3ec7cd,2,0,PASSED,,PASSED,,
buddycloud_buddycloud-server-java__43c8b054e9,2,0,PASSED,,PASSED,,
buddycloud_buddycloud-server-java__48e4675ee2,2,0,PASSED,,PASSED,,
buschmais_extended-objects__46ec306cf6,1,0,PASSED,,PASSED,,
camsys_onebusaway-application-modules__915e2f3ffe,1,0,PASSED,,PASSED,,
camsys_onebusaway-application-modules__e779e9fce1,1,0,PASSED,,PASSED,,
clojure_clojure__77342d2e35,1,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__80d0a0dff9,1,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__933add90ad,1,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__9f6b79e294,1,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__a69078adc8,2,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__a9d35d542d,2,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__b0add1ef2a,1,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__be097d5860,2,0,PASSED,,PASSED,,
cloudfoundry_cf-java-client__eb3b2f5beb,1,0,PASSED,,PASSED,,
cloudslang_score__66ba4f51e3,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
comatoes_ftl-profile-editor__e87fe65818,1,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference;RM2RenameConflict
cribbstechnologies_java-mandrill-wrapper__0cf79745f1,2,2,ALL_DIVERGED,,ALL_DIVERGED,,
cternes_openkeepass__bb53512ab2,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
dabsquared_gitlab-plugin__d555b8773d,1,0,PASSED,,BLOCKED,flag,JoernUnresolvedReference
datastax_java-driver__0dd96ea21f,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
datastax_java-driver__1f25c7e3a0,2,1,PASSED,,PASSED,,
datastax_java-driver__3eb34e6785,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
datastax_java-driver__725b790a79,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
datastax_java-driver__7ff4958746,2,0,PASSED,,PASSED,,
datastax_java-driver__e1535e89ad,1,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference
deemopen_zkui__2843e7c28f,2,0,PASSED,,PASSED,,
digidotcom_xbeejavalibrary__6279f85f74,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
dius_java-faker__4c61966b1c,1,0,PASSED,,PASSED,,
dtrules_dtrules__505c5cbf82,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
elisarver_selophane__4ecc600017,2,0,PASSED,,PASSED,,
erudika_para__a9e67cc8b3,1,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference;RM2RenameConflict
fasterxml_jackson-core__2572819ed9,1,0,PASSED,,PASSED,,
