config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt,route_effective,lanes,flags
driver-auto-off,pos,ahome-it_lienzo-core__bf4b253816,ahome-it_lienzo-core__bf4b253816__src_main_java_com_ait_lienzo_client_core_shape_wires_WiresShape.java,conflict,semantic,TN,dev-match,78.207,mergiraf,JoernUnresolvedReference;RM2RenameConflict,JoernUnresolvedReference L248: Unresolved identifier 'innerLayoutContainer' in method 'onShapeResizeEnd': referenced in the merged  | RM2RenameConflict L248: Stale reference to renamed variable/field: 'innerLayoutContainer' (renamed to 'm_innerLayoutContaine
driver-auto-off,pos,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e__src_main_java_com_alesaudate_samples_springjersey_example_People.java,conflict,textual,TN,dev-match,70.535,git,,
driver-auto-off,pos,apache_commons-lang__53184369d0,apache_commons-lang__53184369d0__src_main_java_org_apache_commons_lang3_builder_ReflectionToStringBuilder.java,clean,,FP,test-label,78.336,git,,
driver-auto-off,pos,apache_olingo-odata4__820b462f49,apache_olingo-odata4__820b462f49__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,clean,,FP,test-label,81.002,mergiraf,,
driver-auto-off,pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,clean,,FP,test-label,78.889,mergiraf,,
driver-auto-off,pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_test_java_org_apache_olingo_client_core_JSONTest.java,clean,,FP,test-label,102.19,mergiraf,,
driver-auto-off,pos,apache_shiro__13806fc623,apache_shiro__13806fc623__web_src_test_java_org_apache_shiro_web_mgt_CookieRememberMeManagerTest.java,clean,,FP,test-label,75.682,mergiraf,,
driver-auto-off,pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_PassingTestAcceptanceTest.java,clean,,FP,test-label,72.206,mergiraf,,
driver-auto-off,pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_testsupport_AcceptanceTest.java,conflict,semantic,TN,dev-match,71.165,mergiraf,RM2RenameConflict,RM2RenameConflict L27: Stale caller of renamed identifier: 'getTestRunResultFromServer' (renamed to 'getCriticalTestRunResu | RM2RenameConflict L46: Stale caller of renamed identifier: 'getTestRunResultFromServer' (renamed to 'getCriticalTestRunResu | RM2RenameConflict L51: Stale caller of renamed identifier: 'getTestRunResultFromServer' (renamed to 'getCriticalTestRunResu | RM2RenameConflict L59: Stale caller of renamed identifier: 'getTestRunResultFromServer' (renamed to 'getCriticalTestRunRes
driver-auto-off,pos,azuread_azure-activedirectory-library-for-java__d3f143872b,azuread_azure-activedirectory-library-for-java__d3f143872b__src_test_java_com_microsoft_aad_adal4j_AuthenticationContextTest.java,clean,,FP,test-label,76.809,mergiraf,,
driver-auto-off,pos,bedatadriven_jackson-datatype-jts__1416f1af06,bedatadriven_jackson-datatype-jts__1416f1af06__src_main_java_com_bedatadriven_jackson_datatype_jts_GeometryDeserializer.java,conflict,textual,TN,dev-match,70.376,git,,
driver-auto-off,pos,bguerout_jongo__3aaaf0e4c7,bguerout_jongo__3aaaf0e4c7__src_main_java_org_jongo_Jongo.java,clean,,FP,test-label,71.413,mergiraf,,
