tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,HIERARCHY_RESHAPE,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.016
git-merge-file,INTRA_BODY,6,1,0,5,0,0,0,1.0,1.0,1.0,0.0,5.0,0.021
git-merge-file,LOCAL_DECL_EDIT,5,1,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.023
git-merge-file,MIGRATE_DECL,7,2,0,5,0,0,0,1.0,1.0,1.0,0.0,5.0,0.02
git-merge-file,NONE,33,10,0,17,6,0,0,1.0,0.625,0.7692,0.0,23.0,0.023
git-merge-file,SYMBOL_CASCADE,8,3,0,5,0,0,0,1.0,1.0,1.0,0.0,5.0,0.021
git-merge-file,all,60,17,0,37,6,0,0,1.0,0.7391,0.85,0.0,43.0,0.022
jdime,HIERARCHY_RESHAPE,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,2.092
jdime,INTRA_BODY,6,0,0,0,0,6,0,0.0,0.0,0.0,0.0,6.0,1.922
jdime,LOCAL_DECL_EDIT,5,0,2,0,0,3,0,0.0,0.0,0.0,1.0,23.0,2.136
jdime,MIGRATE_DECL,7,0,0,1,0,6,0,0.0,0.0,0.0,0.0,7.0,1.866
jdime,NONE,33,4,1,1,0,27,0,0.8,1.0,0.8889,0.2,38.0,2.362
jdime,SYMBOL_CASCADE,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,8.0,2.259
jdime,all,60,4,3,2,0,51,0,0.5714,1.0,0.7273,0.4286,83.0,2.223
mastery,HIERARCHY_RESHAPE,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,3.237
mastery,INTRA_BODY,6,1,4,1,0,0,0,0.2,1.0,0.3333,0.8,41.0,3.853
mastery,LOCAL_DECL_EDIT,5,1,4,0,0,0,0,0.2,1.0,0.3333,0.8,40.0,2.167
mastery,MIGRATE_DECL,7,0,3,4,0,0,0,0.0,0.0,0.0,1.0,34.0,2.894
mastery,NONE,33,6,23,4,0,0,0,0.2069,1.0,0.3429,0.7931,234.0,3.091
mastery,SYMBOL_CASCADE,8,2,5,1,0,0,0,0.2857,1.0,0.4444,0.7143,51.0,3.972
mastery,all,60,10,39,11,0,0,0,0.2041,1.0,0.339,0.7959,401.0,3.187
mergiraf,HIERARCHY_RESHAPE,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.482
mergiraf,INTRA_BODY,6,4,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.472
mergiraf,LOCAL_DECL_EDIT,5,1,2,2,0,0,0,0.3333,1.0,0.5,0.6667,22.0,0.394
mergiraf,MIGRATE_DECL,7,3,1,3,0,0,0,0.75,1.0,0.8571,0.25,13.0,0.467
mergiraf,NONE,33,22,5,3,3,0,0,0.8148,0.88,0.8462,0.1852,56.0,0.461
mergiraf,SYMBOL_CASCADE,8,6,2,0,0,0,0,0.75,1.0,0.8571,0.25,20.0,0.484
mergiraf,all,60,36,10,11,3,0,0,0.7826,0.9231,0.8471,0.2174,114.0,0.461
spork,HIERARCHY_RESHAPE,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,10.0,7.988
spork,INTRA_BODY,6,1,5,0,0,0,0,0.1667,1.0,0.2857,0.8333,50.0,9.034
spork,LOCAL_DECL_EDIT,5,3,2,0,0,0,0,0.6,1.0,0.75,0.4,20.0,4.187
spork,MIGRATE_DECL,7,3,3,1,0,0,0,0.5,1.0,0.6667,0.5,31.0,5.444
spork,NONE,33,17,15,1,0,0,0,0.5312,1.0,0.6939,0.4688,151.0,6.614
spork,SYMBOL_CASCADE,8,5,1,2,0,0,0,0.8333,1.0,0.9091,0.1667,12.0,6.583
spork,all,60,29,27,4,0,0,0,0.5179,1.0,0.6824,0.4821,274.0,6.536
weave,HIERARCHY_RESHAPE,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.526
weave,INTRA_BODY,6,2,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.402
weave,LOCAL_DECL_EDIT,5,1,1,3,0,0,0,0.5,1.0,0.6667,0.5,13.0,0.408
weave,MIGRATE_DECL,7,2,0,5,0,0,0,1.0,1.0,1.0,0.0,5.0,0.365
weave,NONE,33,12,1,16,4,0,0,0.9231,0.75,0.8276,0.0769,30.0,0.403
weave,SYMBOL_CASCADE,8,4,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.379
weave,all,60,21,2,33,4,0,0,0.913,0.84,0.875,0.087,57.0,0.398
