scenario_id,repo,file_path,num_diff_files,num_diff_hunks,imports_involved,mergiraf_test_label,spork_test_label,gitmerge_ort_test_label,git-merge-file_norm,git-merge-file_raw,mergiraf_norm,mergiraf_raw,weave_norm,weave_raw,git-merge-file_rt,mergiraf_rt,weave_rt
adamd_z__da778dcb9c__src_com_adamldavis_z_Z.java,adamd_z,src/com/adamldavis/z/Z.java,19.0,71,True,Tests_passed,Tests_failed,Merge_failed,TN,TN,FP,FP,TN,TN,0.031,0.689,0.439
addthis_stream-lib__59ece5dc87__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,src/main/java/com/clearspring/analytics/stream/cardinality/HyperLogLogPlus.java,16.0,58,True,Tests_passed,Tests_passed,Tests_passed,TP,TP,TP,TP,TP,TP,0.024,0.367,0.337
addthis_stream-lib__a946396485__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,src/main/java/com/clearspring/analytics/stream/cardinality/HyperLogLogPlus.java,3.0,29,False,Merge_failed,Merge_failed,Merge_failed,TN,TN,TN,TN,TN,TN,0.017,0.633,0.38
addthis_stream-lib__db2ede7429__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLog.java,addthis_stream-lib,src/main/java/com/clearspring/analytics/stream/cardinality/HyperLogLog.java,17.0,115,True,Tests_passed,Tests_passed,Merge_failed,TP,TP,TP,TP,TP,TP,0.014,0.263,0.285
addthis_stream-lib__e0a13b01fb__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,src/main/java/com/clearspring/analytics/stream/cardinality/HyperLogLogPlus.java,16.0,132,True,Merge_failed,Merge_failed,Merge_failed,TN,TN,TN,TN,TN,TN,0.014,0.753,0.394
addthis_stream-lib__e4a8d65ba1__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,src/main/java/com/clearspring/analytics/stream/cardinality/HyperLogLogPlus.java,15.0,43,True,Tests_passed,Tests_passed,Tests_passed,TP,TP,TP,TP,TP,TP,0.016,0.383,0.369
aerospike_aerospike-client-java__dfa7c50814__test_src_com_aerospike_test_util_Args.java,aerospike_aerospike-client-java,test/src/com/aerospike/test/util/Args.java,135.0,580,True,Tests_passed,Tests_passed,Tests_passed,TP,TP,TP,TP,TP,TP,0.019,0.302,0.249
aerospike_aerospike-client-java__ecf123c191__client_src_com_aerospike_client_query_PartitionTracker.java,aerospike_aerospike-client-java,client/src/com/aerospike/client/query/PartitionTracker.java,133.0,588,True,Tests_passed,Tests_passed,Tests_passed,TP,TP,TP,TP,TP,TP,0.015,0.283,0.254
apache_olingo-odata4__74587d98f5__lib_server-core-ext_src_main_java_org_apache_olingo_server_core_requests_DataRequest.java,apache_olingo-odata4,lib/server-core-ext/src/main/java/org/apache/olingo/server/core/requests/DataRequest.java,21.0,75,True,Tests_passed,Tests_failed,Tests_passed,TP,TP,TP,TP,TP,TP,0.013,0.263,0.317
aweber_rabbitmq-flume-plugin__710a5fb3b8__src_main_java_com_aweber_flume_source_rabbitmq_Consumer.java,aweber_rabbitmq-flume-plugin,src/main/java/com/aweber/flume/source/rabbitmq/Consumer.java,7.0,25,False,Tests_passed,Tests_passed,Merge_failed,TN,TN,FP,FP,TN,TN,0.016,0.829,0.555
