tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,16,12,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.028
git-merge-file,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.021
git-merge-file,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,1.0,1.0,0.0,3.0,0.025
git-merge-file,NONE,18,14,0,3,1,0,0,1.0,0.9333,0.9655,0.0,4.0,0.025
git-merge-file,SYMBOL_CASCADE,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.025
git-merge-file,all,50,39,0,10,1,0,0,1.0,0.975,0.9873,0.0,11.0,0.025
jdime,INTRA_BODY,16,0,0,0,0,16,0,0.0,0.0,0.0,0.0,16.0,2.826
jdime,LOCAL_DECL_EDIT,4,0,0,0,0,4,0,0.0,0.0,0.0,0.0,4.0,3.152
jdime,MIGRATE_DECL,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,8.0,2.923
jdime,NONE,18,1,0,0,0,17,0,1.0,1.0,1.0,0.0,17.0,2.856
jdime,SYMBOL_CASCADE,4,0,1,0,0,3,0,0.0,0.0,0.0,1.0,13.0,3.419
jdime,all,50,1,1,0,0,48,0,0.5,1.0,0.6667,0.5,58.0,2.926
mastery,INTRA_BODY,16,6,9,1,0,0,0,0.4,1.0,0.5714,0.6,91.0,5.541
mastery,LOCAL_DECL_EDIT,4,2,2,0,0,0,0,0.5,1.0,0.6667,0.5,20.0,4.797
mastery,MIGRATE_DECL,8,1,3,4,0,0,0,0.25,1.0,0.4,0.75,34.0,6.165
mastery,NONE,18,3,14,1,0,0,0,0.1765,1.0,0.3,0.8235,141.0,4.585
mastery,SYMBOL_CASCADE,4,0,4,0,0,0,0,0.0,0.0,0.0,1.0,40.0,4.416
mastery,all,50,12,32,6,0,0,0,0.2727,1.0,0.4286,0.7273,326.0,5.147
mergiraf,INTRA_BODY,16,13,0,3,0,0,0,1.0,1.0,1.0,0.0,3.0,0.647
mergiraf,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.498
mergiraf,MIGRATE_DECL,8,5,1,2,0,0,0,0.8333,1.0,0.9091,0.1667,12.0,0.781
mergiraf,NONE,18,16,1,1,0,0,0,0.9412,1.0,0.9697,0.0588,11.0,0.551
mergiraf,SYMBOL_CASCADE,4,3,1,0,0,0,0,0.75,1.0,0.8571,0.25,10.0,0.583
mergiraf,all,50,41,3,6,0,0,0,0.9318,1.0,0.9647,0.0682,36.0,0.617
spork,INTRA_BODY,16,11,3,2,0,0,0,0.7857,1.0,0.88,0.2143,32.0,12.864
spork,LOCAL_DECL_EDIT,4,3,1,0,0,0,0,0.75,1.0,0.8571,0.25,10.0,9.993
spork,MIGRATE_DECL,8,4,2,2,0,0,0,0.6667,1.0,0.8,0.3333,22.0,17.804
spork,NONE,18,11,4,2,1,0,0,0.7333,0.9167,0.8148,0.2667,43.0,10.377
spork,SYMBOL_CASCADE,4,3,1,0,0,0,0,0.75,1.0,0.8571,0.25,10.0,8.696
spork,all,50,32,11,6,1,0,0,0.7442,0.9697,0.8421,0.2558,117.0,12.196
weave,INTRA_BODY,16,10,0,6,0,0,0,1.0,1.0,1.0,0.0,6.0,0.562
weave,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.45
weave,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,1.0,1.0,0.0,3.0,0.567
weave,NONE,18,14,0,3,1,0,0,1.0,0.9333,0.9655,0.0,4.0,0.536
weave,SYMBOL_CASCADE,4,3,0,1,0,0,0,1.0,1.0,1.0,0.0,1.0,0.538
weave,all,50,36,0,13,1,0,0,1.0,0.973,0.9863,0.0,14.0,0.543
