tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,16,12,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.028
git-merge-file,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.021
git-merge-file,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,1.0,1.0,0.0,3.0,0.025
git-merge-file,NONE,18,14,0,3,1,0,0,1.0,0.9333,0.9655,0.0,4.0,0.025
git-merge-file,SYMBOL_CASCADE,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.025
git-merge-file,all,50,39,0,10,1,0,0,1.0,0.975,0.9873,0.0,11.0,0.025
jdime,INTRA_BODY,16,0,0,0,0,16,0,0.0,0.0,0.0,0.0,16.0,2.826
jdime,LOCAL_DECL_EDIT,4,0,0,0,0,4,0,0.0,0.0,0.0,0.0,4.0,3.152
jdime,MIGRATE_DECL,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,8.0,2.923
jdime,NONE,18,0,1,0,0,17,0,0.0,0.0,0.0,1.0,27.0,2.856
jdime,SYMBOL_CASCADE,4,0,1,0,0,3,0,0.0,0.0,0.0,1.0,13.0,3.419
jdime,all,50,0,2,0,0,48,0,0.0,0.0,0.0,1.0,68.0,2.926
mastery,INTRA_BODY,16,0,15,1,0,0,0,0.0,0.0,0.0,1.0,151.0,5.541
mastery,LOCAL_DECL_EDIT,4,0,4,0,0,0,0,0.0,0.0,0.0,1.0,40.0,4.797
mastery,MIGRATE_DECL,8,0,4,4,0,0,0,0.0,0.0,0.0,1.0,44.0,6.165
mastery,NONE,18,0,17,1,0,0,0,0.0,0.0,0.0,1.0,171.0,4.585
mastery,SYMBOL_CASCADE,4,0,4,0,0,0,0,0.0,0.0,0.0,1.0,40.0,4.416
mastery,all,50,0,44,6,0,0,0,0.0,0.0,0.0,1.0,446.0,5.147
mergiraf,INTRA_BODY,16,10,3,3,0,0,0,0.7692,1.0,0.8696,0.2308,33.0,0.647
mergiraf,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.498
mergiraf,MIGRATE_DECL,8,5,1,2,0,0,0,0.8333,1.0,0.9091,0.1667,12.0,0.781
mergiraf,NONE,18,16,1,1,0,0,0,0.9412,1.0,0.9697,0.0588,11.0,0.551
mergiraf,SYMBOL_CASCADE,4,3,1,0,0,0,0,0.75,1.0,0.8571,0.25,10.0,0.583
mergiraf,all,50,38,6,6,0,0,0,0.8636,1.0,0.9268,0.1364,66.0,0.617
spork,INTRA_BODY,16,1,13,2,0,0,0,0.0714,1.0,0.1333,0.9286,132.0,12.864
spork,LOCAL_DECL_EDIT,4,0,4,0,0,0,0,0.0,0.0,0.0,1.0,40.0,9.993
spork,MIGRATE_DECL,8,0,6,2,0,0,0,0.0,0.0,0.0,1.0,62.0,17.804
spork,NONE,18,0,15,2,1,0,0,0.0,0.0,0.0,1.0,153.0,10.377
spork,SYMBOL_CASCADE,4,0,4,0,0,0,0,0.0,0.0,0.0,1.0,40.0,8.696
spork,all,50,1,42,6,1,0,0,0.0233,0.5,0.0444,0.9767,427.0,12.196
weave,INTRA_BODY,16,10,0,6,0,0,0,1.0,1.0,1.0,0.0,6.0,0.562
weave,LOCAL_DECL_EDIT,4,4,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.45
weave,MIGRATE_DECL,8,5,0,3,0,0,0,1.0,1.0,1.0,0.0,3.0,0.567
weave,NONE,18,13,1,4,0,0,0,0.9286,1.0,0.963,0.0714,14.0,0.536
weave,SYMBOL_CASCADE,4,3,0,1,0,0,0,1.0,1.0,1.0,0.0,1.0,0.538
weave,all,50,35,1,14,0,0,0,0.9722,1.0,0.9859,0.0278,24.0,0.543
