scenario_id,repo,file_ours,proj_ours,only_proj_ours,only_file_ours,file_theirs,proj_theirs,only_proj_theirs,only_file_theirs,cluster_file,cluster_proj,cluster_proj_full
47deg_firebrand__5af53e4af4__src_main_java_org_firebrandocm_dao_impl_hector_HectorPersistenceFactory.java,47deg_firebrand,Change Class Access Modifier;Change Method Access Modifier,Change Class Access Modifier;Change Method Access Modifier,,,Change Method Access Modifier,Change Method Access Modifier,,,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT
47deg_firebrand__766c135387__src_main_java_org_firebrandocm_dao_ClassMetadata.java,47deg_firebrand,,,,,Change Method Access Modifier,Change Method Access Modifier,,,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT,MIGRATE_DECL
47deg_firebrand__776567ef4e__src_main_java_org_firebrandocm_dao_ClassMetadata.java,47deg_firebrand,,,,,Change Method Access Modifier,Change Method Access Modifier,,,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT
9apps_elasticsearch-cloudwatch__8e72563c34__src_main_java_net_nineapps_elasticsearch_plugin_cloudwatch_CloudwatchPluginService.java,9apps_elasticsearch-cloudwatch,,,,,,,,,NONE,NONE,NONE
ab0oo_javaprslib__a929486b0e__src_main_java_net_ab0oo_aprs_parser_APRSPacket.java,ab0oo_javaprslib,Change Attribute Access Modifier;Change Parameter Type;Encapsulate Attribute;Rename Parameter,Change Attribute Access Modifier;Change Parameter Type;Encapsulate Attribute;Extract And Move Method;Extract Class;Move Attribute;Move Method;Rename Parameter,Extract And Move Method;Extract Class;Move Attribute;Move Method,,,,,,INTRA_BODY,MIGRATE_DECL,MIGRATE_DECL
abel533_echarts__c6ad45b63a__src_main_java_com_github_abel533_echarts_Basic.java,abel533_echarts,Encapsulate Attribute,Encapsulate Attribute,,,,,,,SYMBOL_CASCADE,SYMBOL_CASCADE,SYMBOL_CASCADE
acciente_oacc-core__0ca7e4ea4f__src_main_java_com_acciente_oacc_sql_SQLAccessControlContextFactory.java,acciente_oacc-core,,,,,Add Parameter,Add Parameter,,,SYMBOL_CASCADE,SYMBOL_CASCADE,INTRA_BODY
accla_d4m_api_java__0035e071ee__src_main_java_edu_mit_ll_graphulo_Graphulo.java,accla_d4m_api_java,Merge Attribute,Merge Attribute,,,Add Parameter,Add Parameter,,,SYMBOL_CASCADE,SYMBOL_CASCADE,INTRA_BODY
accla_d4m_api_java__09c65cd954__src_main_java_edu_mit_ll_d4m_db_cloud_D4mDbInsert.java,accla_d4m_api_java,,,,,,,,,NONE,NONE,MIGRATE_DECL
accla_d4m_api_java__31dd135b67__src_main_java_edu_mit_ll_d4m_db_cloud_accumulo_D4mDbQueryAccumulo.java,accla_d4m_api_java,,,,,Merge Conditional,Merge Conditional,,,INTRA_BODY,INTRA_BODY,INTRA_BODY
