tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,10,2,0,8,0,0,0,1.0,1.0,1.0,0.0,8.0,0.018
git-merge-file,LOCAL_DECL_EDIT,6,4,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.022
git-merge-file,MIGRATE_DECL,6,2,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.02
git-merge-file,NONE,33,19,0,11,3,0,0,1.0,0.8636,0.9268,0.0,14.0,0.02
git-merge-file,SYMBOL_CASCADE,5,3,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.019
git-merge-file,all,60,30,0,27,3,0,0,1.0,0.9091,0.9524,0.0,30.0,0.02
jdime,INTRA_BODY,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,10.0,1.478
jdime,LOCAL_DECL_EDIT,6,1,1,0,0,4,0,0.5,1.0,0.6667,0.5,14.0,1.694
jdime,MIGRATE_DECL,6,0,0,0,0,6,0,0.0,0.0,0.0,0.0,6.0,1.685
jdime,NONE,33,3,3,0,0,27,0,0.5,1.0,0.6667,0.5,57.0,1.681
jdime,SYMBOL_CASCADE,5,0,1,0,0,4,0,0.0,0.0,0.0,1.0,14.0,1.558
jdime,all,60,4,5,0,0,51,0,0.4444,1.0,0.6154,0.5556,101.0,1.639
mastery,INTRA_BODY,10,2,5,3,0,0,0,0.2857,1.0,0.4444,0.7143,53.0,2.612
mastery,LOCAL_DECL_EDIT,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,1.959
mastery,MIGRATE_DECL,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,2.868
mastery,NONE,33,11,20,2,0,0,0,0.3548,1.0,0.5238,0.6452,202.0,2.371
mastery,SYMBOL_CASCADE,5,1,4,0,0,0,0,0.2,1.0,0.3333,0.8,40.0,2.161
mastery,all,60,14,41,5,0,0,0,0.2545,1.0,0.4058,0.7455,415.0,2.402
mergiraf,INTRA_BODY,10,6,2,2,0,0,0,0.75,1.0,0.8571,0.25,22.0,0.349
mergiraf,LOCAL_DECL_EDIT,6,4,1,1,0,0,0,0.8,1.0,0.8889,0.2,11.0,0.282
mergiraf,MIGRATE_DECL,6,4,1,1,0,0,0,0.8,1.0,0.8889,0.2,11.0,0.382
mergiraf,NONE,33,25,2,4,2,0,0,0.9259,0.9259,0.9259,0.0741,26.0,0.338
mergiraf,SYMBOL_CASCADE,5,3,2,0,0,0,0,0.6,1.0,0.75,0.4,20.0,0.294
mergiraf,all,60,42,8,8,2,0,0,0.84,0.9545,0.8936,0.16,90.0,0.335
spork,INTRA_BODY,10,5,5,0,0,0,0,0.5,1.0,0.6667,0.5,50.0,5.26
spork,LOCAL_DECL_EDIT,6,2,4,0,0,0,0,0.3333,1.0,0.5,0.6667,40.0,3.956
spork,MIGRATE_DECL,6,1,5,0,0,0,0,0.1667,1.0,0.2857,0.8333,50.0,5.525
spork,NONE,33,16,17,0,0,0,0,0.4848,1.0,0.6531,0.5152,170.0,4.789
spork,SYMBOL_CASCADE,5,1,4,0,0,0,0,0.2,1.0,0.3333,0.8,40.0,4.279
spork,all,60,25,35,0,0,0,0,0.4167,1.0,0.5882,0.5833,350.0,4.815
weave,INTRA_BODY,10,3,0,7,0,0,0,1.0,1.0,1.0,0.0,7.0,0.298
weave,LOCAL_DECL_EDIT,6,4,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.278
weave,MIGRATE_DECL,6,2,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.298
weave,NONE,33,21,0,10,2,0,0,1.0,0.913,0.9545,0.0,12.0,0.288
weave,SYMBOL_CASCADE,5,3,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.286
weave,all,60,33,0,25,2,0,0,1.0,0.9429,0.9706,0.0,27.0,0.289
