tool,category,scenarios,tp,fp,tn,fn,crashes,timeouts,precision,recall,f1,incorrect_rate,weighted_cost,avg_runtime_s
git-merge-file,INTRA_BODY,10,2,0,8,0,0,0,1.0,1.0,1.0,0.0,8.0,0.018
git-merge-file,LOCAL_DECL_EDIT,6,4,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.022
git-merge-file,MIGRATE_DECL,6,2,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.02
git-merge-file,NONE,33,19,0,14,0,0,0,1.0,1.0,1.0,0.0,14.0,0.02
git-merge-file,SYMBOL_CASCADE,5,3,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.019
git-merge-file,all,60,30,0,30,0,0,0,1.0,1.0,1.0,0.0,30.0,0.02
jdime,INTRA_BODY,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,10.0,1.478
jdime,LOCAL_DECL_EDIT,6,0,2,0,0,4,0,0.0,0.0,0.0,1.0,24.0,1.694
jdime,MIGRATE_DECL,6,0,0,0,0,6,0,0.0,0.0,0.0,0.0,6.0,1.685
jdime,NONE,33,0,6,0,0,27,0,0.0,0.0,0.0,1.0,87.0,1.681
jdime,SYMBOL_CASCADE,5,0,1,0,0,4,0,0.0,0.0,0.0,1.0,14.0,1.558
jdime,all,60,0,9,0,0,51,0,0.0,0.0,0.0,1.0,141.0,1.639
mastery,INTRA_BODY,10,0,7,3,0,0,0,0.0,0.0,0.0,1.0,73.0,2.612
mastery,LOCAL_DECL_EDIT,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,1.959
mastery,MIGRATE_DECL,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,2.868
mastery,NONE,33,0,31,2,0,0,0,0.0,0.0,0.0,1.0,312.0,2.371
mastery,SYMBOL_CASCADE,5,0,5,0,0,0,0,0.0,0.0,0.0,1.0,50.0,2.161
mastery,all,60,0,55,5,0,0,0,0.0,0.0,0.0,1.0,555.0,2.402
mergiraf,INTRA_BODY,10,6,2,2,0,0,0,0.75,1.0,0.8571,0.25,22.0,0.349
mergiraf,LOCAL_DECL_EDIT,6,4,1,1,0,0,0,0.8,1.0,0.8889,0.2,11.0,0.282
mergiraf,MIGRATE_DECL,6,2,3,1,0,0,0,0.4,1.0,0.5714,0.6,31.0,0.382
mergiraf,NONE,33,24,3,6,0,0,0,0.8889,1.0,0.9412,0.1111,36.0,0.338
mergiraf,SYMBOL_CASCADE,5,3,2,0,0,0,0,0.6,1.0,0.75,0.4,20.0,0.294
mergiraf,all,60,39,11,10,0,0,0,0.78,1.0,0.8764,0.22,120.0,0.335
spork,INTRA_BODY,10,0,10,0,0,0,0,0.0,0.0,0.0,1.0,100.0,5.26
spork,LOCAL_DECL_EDIT,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,3.956
spork,MIGRATE_DECL,6,0,6,0,0,0,0,0.0,0.0,0.0,1.0,60.0,5.525
spork,NONE,33,0,33,0,0,0,0,0.0,0.0,0.0,1.0,330.0,4.789
spork,SYMBOL_CASCADE,5,0,5,0,0,0,0,0.0,0.0,0.0,1.0,50.0,4.279
spork,all,60,0,60,0,0,0,0,0.0,0.0,0.0,1.0,600.0,4.815
weave,INTRA_BODY,10,3,0,7,0,0,0,1.0,1.0,1.0,0.0,7.0,0.298
weave,LOCAL_DECL_EDIT,6,3,1,2,0,0,0,0.75,1.0,0.8571,0.25,12.0,0.278
weave,MIGRATE_DECL,6,2,0,4,0,0,0,1.0,1.0,1.0,0.0,4.0,0.298
weave,NONE,33,17,4,12,0,0,0,0.8095,1.0,0.8947,0.1905,52.0,0.288
weave,SYMBOL_CASCADE,5,3,0,2,0,0,0,1.0,1.0,1.0,0.0,2.0,0.286
weave,all,60,28,5,27,0,0,0,0.8485,1.0,0.918,0.1515,77.0,0.289
