merge_id,stratum,split,pass_a,pass_b,final_primary,source,confidence_a,confidence_b,secondary_a,secondary_b
ahome-it_lienzo-core__bf4b253816,A,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
apache_cayenne__f10ba77a97,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
apache_commons-collections__15b62fb08d,B,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,medium,high,,
apache_commons-collections__84e70353ad,B,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
apache_commons-collections__f0c2e97529,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
apache_commons-lang__53184369d0,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
apache_directory-kerby__798f1b4348,B,derivation,indeterminate,none-identified,indeterminate,ali-ruling,medium,medium,,
apache_metamodel__c4788a2727,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,low,,
apache_olingo-odata4__820b462f49,A,derivation,none-identified,indeterminate,indeterminate,ali-ruling,high,medium,,
apache_olingo-odata4__cf731c2cb8,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,low,,
apache_opennlp__8240a2c660,B,derivation,none-identified,overlapping-edit-interleaving,none-identified,ali-ruling,medium,high,,
apache_roller__1628c3a3c4,B,heldout,indeterminate,none-identified,indeterminate,ali-ruling,medium,medium,,
apache_shiro__13806fc623,A,heldout,indeterminate,stale-expectation-of-changed-behavior,indeterminate,ali-ruling,medium,medium,,
ardesco_selenium-standalone-server-plugin__957d978135,B,derivation,stale-caller-of-changed-signature,stale-usage-of-pruned-import,stale-caller-of-changed-signature,ali-ruling,high,high,stale-usage-of-pruned-import,stale-caller-of-changed-signature;stale-expectation-of-changed-behavior
atam4j_atam4j__71fcecb071,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,medium,,
awslabs_amazon-kinesis-client__a207c3760c,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
azuread_azure-activedirectory-library-for-java__c2385c17f0,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
azuread_azure-activedirectory-library-for-java__d3f143872b,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,medium,medium,,
bguerout_jongo__3aaaf0e4c7,A,derivation,stale-reference-to-removed-declaration,indeterminate,indeterminate,ali-ruling,medium,low,,
blockchain_api-v1-client-java__abdf54e6ab,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
blockchain_api-v1-client-java__e349598f95,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
buddycloud_buddycloud-server-java__33ec3ec7cd,A,heldout,none-identified,none-identified,none-identified,agree,medium,high,,
buddycloud_buddycloud-server-java__43c8b054e9,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
buddycloud_buddycloud-server-java__48e4675ee2,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
buschmais_extended-objects__46ec306cf6,A,heldout,none-identified,indeterminate,indeterminate,ali-ruling,medium,medium,,
camsys_onebusaway-application-modules__915e2f3ffe,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
camsys_onebusaway-application-modules__e779e9fce1,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
clojure_clojure__77342d2e35,A,heldout,indeterminate,stale-reference-to-renamed-or-relocated-declaration,indeterminate,ali-ruling,medium,medium,,
cloudfoundry_cf-java-client__80d0a0dff9,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
cloudfoundry_cf-java-client__933add90ad,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
cloudfoundry_cf-java-client__9f6b79e294,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
cloudfoundry_cf-java-client__a69078adc8,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
cloudfoundry_cf-java-client__a9d35d542d,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
cloudfoundry_cf-java-client__b0add1ef2a,A,derivation,overlapping-edit-interleaving,stale-caller-of-changed-signature,overlapping-edit-interleaving,ali-ruling,high,high,stale-caller-of-changed-signature,overlapping-edit-interleaving
cloudfoundry_cf-java-client__be097d5860,A,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
cloudfoundry_cf-java-client__eb3b2f5beb,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
cloudslang_score__657635dc0a,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
cloudslang_score__8c78da61cf,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
cloudslang_score__ace2958fc1,B,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration
cloudslang_score__ded24a7b98,B,derivation,none-identified,none-identified,none-identified,agree,high,high,,
comatoes_ftl-profile-editor__e87fe65818,A,derivation,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,agree,high,high,,
cternes_openkeepass__bb53512ab2,A,derivation,stale-usage-of-pruned-import,indeterminate,stale-usage-of-pruned-import,ali-ruling,medium,medium,,
dabsquared_gitlab-plugin__d555b8773d,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,low,,
danielnorberg_auto-matter__3d46ebaf5a,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
datastax_java-driver__1f25c7e3a0,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
datastax_java-driver__7ff4958746,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
datastax_java-driver__e1535e89ad,A,derivation,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,agree,high,high,,
deemopen_zkui__2843e7c28f,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
dius_java-faker__4c61966b1c,A,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
dius_java-faker__9f0019116a,B,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,medium,high,stale-reference-to-renamed-or-relocated-declaration,
driesschulten_dozer-model__c7260c73f5,B,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
dtrules_dtrules__505c5cbf82,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
ebay_xcelite__463d8a2f0d,B,heldout,none-identified,none-identified,none-identified,agree-sampled-accepted,high,high,,
edwardcapriolo_nibiru__bb6150cffd,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
eirslett_frontend-maven-plugin__d543d86d84,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
elisarver_selophane__4ecc600017,A,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
erudika_para__a9e67cc8b3,A,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
fasterxml_jackson-core__2572819ed9,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
fasterxml_jackson-core__cd12b954a6,B,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
