merge_id,stratum,split
ahome-it_lienzo-core__bf4b253816,A,heldout
apache_commons-lang__53184369d0,A,derivation
apache_olingo-odata4__820b462f49,A,derivation
apache_olingo-odata4__cf731c2cb8,A,derivation
apache_shiro__13806fc623,A,heldout
atam4j_atam4j__71fcecb071,A,derivation
azuread_azure-activedirectory-library-for-java__d3f143872b,A,heldout
bguerout_jongo__3aaaf0e4c7,A,derivation
blockchain_api-v1-client-java__abdf54e6ab,A,derivation
blockchain_api-v1-client-java__e349598f95,A,derivation
buddycloud_buddycloud-server-java__33ec3ec7cd,A,heldout
buddycloud_buddycloud-server-java__43c8b054e9,A,derivation
buddycloud_buddycloud-server-java__48e4675ee2,A,derivation
buschmais_extended-objects__46ec306cf6,A,heldout
camsys_onebusaway-application-modules__915e2f3ffe,A,derivation
camsys_onebusaway-application-modules__e779e9fce1,A,derivation
clojure_clojure__77342d2e35,A,heldout
cloudfoundry_cf-java-client__80d0a0dff9,A,derivation
cloudfoundry_cf-java-client__933add90ad,A,heldout
cloudfoundry_cf-java-client__9f6b79e294,A,heldout
cloudfoundry_cf-java-client__a69078adc8,A,derivation
cloudfoundry_cf-java-client__a9d35d542d,A,derivation
cloudfoundry_cf-java-client__b0add1ef2a,A,derivation
cloudfoundry_cf-java-client__be097d5860,A,derivation
cloudfoundry_cf-java-client__eb3b2f5beb,A,derivation
comatoes_ftl-profile-editor__e87fe65818,A,derivation
cternes_openkeepass__bb53512ab2,A,derivation
dabsquared_gitlab-plugin__d555b8773d,A,heldout
datastax_java-driver__1f25c7e3a0,A,heldout
datastax_java-driver__7ff4958746,A,heldout
datastax_java-driver__e1535e89ad,A,derivation
deemopen_zkui__2843e7c28f,A,derivation
dius_java-faker__4c61966b1c,A,derivation
dtrules_dtrules__505c5cbf82,A,derivation
elisarver_selophane__4ecc600017,A,derivation
erudika_para__a9e67cc8b3,A,heldout
fasterxml_jackson-core__2572819ed9,A,heldout
fasterxml_jackson-datatype-joda__4e6c266339,A,heldout
feroult_yawp__141f79a8e9,A,derivation
feroult_yawp__1723236a65,A,heldout
frankbille_scoreboard__890ecd0bdb,A,heldout
garbagemule_mobarena__b34dc0d5ac,A,derivation
google_compile-testing__608e1cb92a,A,heldout
google_truth__2e4a23bebb,A,heldout
google_truth__9289ed34ae,A,heldout
greese_dasein-cloud-core__6c37152e5f,A,derivation
guhilling_cdi-test__f3f8094c67,A,heldout
gwtbootstrap3_gwtbootstrap3__5c0d1eab79,A,derivation
haraldwalker_user-agent-utils__eaaaa1488b,A,derivation
ignorance77_transformiceapi__9a65b8374f,A,heldout
imixs_imixs-workflow__23b86de5b4,A,derivation
iryndin_jdbf__9853124d73,A,derivation
j256_ormlite-core__2c159335d4,A,derivation
j256_ormlite-core__606986f118,A,derivation
jacquesberger_jsonparsingexample__ac521954c2,A,derivation
jadler-mocking_jadler__294a06c3fc,A,derivation
javamoney_jsr354-api__6d2356a153,A,heldout
javaparser_javaparser__41a398414f,A,derivation
javaparser_javaparser__91ebf36c06,A,heldout
javaparser_javaparser__a23c6aa3b8,A,heldout
javaparser_javaparser__dc6254f1bf,A,derivation
javaparser_javaparser__ff91564b7f,A,derivation
jboss-msc_jboss-msc__1d9b8d45ff,A,derivation
jboss-msc_jboss-msc__a4e21a3b10,A,derivation
jboss-remoting_jboss-remoting__66a0631d13,A,derivation
jcabi_jcabi-github__27cc460e3c,A,heldout
jcabi_jcabi-github__b13d2596ba,A,derivation
jcabi_jcabi-github__e18a8ffd16,A,derivation
jdupl_lancoder__407742ea19,A,derivation
jenkinsci_coverity-plugin__2fb8690816,A,heldout
jenkinsci_coverity-plugin__62bdb6232e,A,derivation
jenkinsci_credentials-plugin__b9cb5f9d1b,A,heldout
jenkinsci_docker-build-publish-plugin__59faa9673c,A,derivation
jenkinsci_email-ext-plugin__4def0e56a8,A,derivation
jenkinsci_jira-plugin__0eec353cb5,A,derivation
jenkinsci_jira-plugin__6ad78581c9,A,heldout
jenkinsci_ldap-plugin__3eee59e25a,A,heldout
jenkinsci_ui-samples-plugin__81bf937a3d,A,heldout
jline_jline2__348cb9dada,A,derivation
