merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
lwhite1_tablesaw__13178c81a1,A,2,scored,heldout,1,1,0,,T0,11075,0
cloudslang_score__66ba4f51e3,A,2,dropped_divergence,,1,0,1,conflict,,,
cloudslang_score__657635dc0a,B,6,scored,derivation,2,2,0,,T0,16038,0
cloudslang_score__ded24a7b98,B,5,scored,derivation,2,2,0,,T0,16412,0
cloudslang_score__8c78da61cf,B,6,scored,heldout,4,4,0,,T0,25296,0
cloudslang_score__ace2958fc1,B,4,scored,derivation,3,3,0,,T1,27838,0
apache_directory-kerby__798f1b4348,B,5,scored,derivation,3,2,1,conflict,T0,8524,0
openhft_chronicle-bytes__e3ac571d25,A,2,scored,derivation,1,1,0,,T0,6627,0
openhft_chronicle-bytes__5bad7e86ea,A,2,scored,derivation,1,1,0,,T0,8503,0
openhft_chronicle-bytes__a9e7269a84,A,2,dropped_divergence,,1,0,1,conflict,,,
openhft_chronicle-bytes__0fb20d3a47,B,26,scored,derivation,20,19,1,conflict,T3,14342,0
openhft_chronicle-network__fb39c8ca3b,A,2,dropped_divergence,,1,0,1,conflict,,,
stevespringett_dependency-check-sonar-plugin__03377193d3,B,4,scored,derivation,3,3,0,,T0,17327,0
square_javapoet__d019b6f624,A,3,scored,derivation,2,2,0,,T0,23846,0
square_javapoet__1cccd9835b,A,2,materialization_loss,,,,,,,,
javaparser_javaparser__41a398414f,A,3,scored,derivation,2,2,0,,T0,27400,0
javaparser_javaparser__ff91564b7f,A,2,scored,derivation,1,1,0,,T0,7109,0
javaparser_javaparser__dc6254f1bf,A,2,scored,derivation,1,1,0,,T0,6079,0
javaparser_javaparser__91ebf36c06,A,3,scored,heldout,2,2,0,,T0,23669,0
javaparser_javaparser__a23c6aa3b8,A,3,scored,heldout,1,1,0,,T0,5595,0
javaparser_javaparser__e6063bb10d,B,5,scored,heldout,4,4,0,,T0,16603,0
javaparser_javaparser__6a08db8f51,B,61,scored,derivation,60,59,1,conflict,T3/cap5,26740,0
awslabs_amazon-sqs-java-messaging-lib__c6da79ddbb,A,2,materialization_loss,,,,,,,,
bedatadriven_jackson-datatype-jts__1416f1af06,A,2,dropped_divergence,,1,0,1,conflict,,,
sviperll_static-mustache__271693c779,B,4,scored,derivation,3,3,0,,T0,11051,0
cternes_openkeepass__bb53512ab2,A,3,scored,derivation,2,2,0,,T2,21576,0
yandex-qatools_postgresql-embedded__6e15a53c7e,B,6,scored,derivation,5,5,0,,T0,28918,0
apache_metamodel__c4788a2727,B,59,scored,heldout,27,26,1,conflict,T3/cap10,23314,0
jparsec_jparsec__ef02642abd,A,2,scored,heldout,1,1,0,,T0,10309,0
atam4j_atam4j__71fcecb071,A,3,scored,derivation,2,2,0,,T0,8792,0
kaazing_k3po__084cc0b426,A,2,scored,derivation,1,1,0,,T0,3435,0
