arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,source
pos,ahome-it_lienzo-core__bf4b253816,ahome-it_lienzo-core__bf4b253816__src_main_java_com_ait_lienzo_client_core_shape_wires_WiresShape.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e,alesaudate_kickstart-springjerseyhibernate__feb36bfc8e__src_main_java_com_alesaudate_samples_springjersey_example_People.java,conflict,textual,TN,dev-match,driver-git
pos,apache_commons-lang__53184369d0,apache_commons-lang__53184369d0__src_main_java_org_apache_commons_lang3_builder_ReflectionToStringBuilder.java,clean,,FP,test-label,driver-git
pos,apache_olingo-odata4__820b462f49,apache_olingo-odata4__820b462f49__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,clean,,FP,test-label,driver-mergiraf
pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_main_java_org_apache_olingo_client_core_serialization_JsonSerializer.java,clean,,FP,test-label,driver-mergiraf
pos,apache_olingo-odata4__cf731c2cb8,apache_olingo-odata4__cf731c2cb8__lib_client-core_src_test_java_org_apache_olingo_client_core_JSONTest.java,clean,,FP,test-label,driver-mergiraf
pos,apache_shiro__13806fc623,apache_shiro__13806fc623__web_src_test_java_org_apache_shiro_web_mgt_CookieRememberMeManagerTest.java,clean,,FP,test-label,driver-mergiraf
pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_PassingTestAcceptanceTest.java,clean,,FP,test-label,driver-mergiraf
pos,atam4j_atam4j__71fcecb071,atam4j_atam4j__71fcecb071__acceptance-tests_src_test_java_me_atam_atam4jsampleapp_testsupport_AcceptanceTest.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,azuread_azure-activedirectory-library-for-java__d3f143872b,azuread_azure-activedirectory-library-for-java__d3f143872b__src_test_java_com_microsoft_aad_adal4j_AuthenticationContextTest.java,clean,,FP,test-label,driver-mergiraf
pos,bedatadriven_jackson-datatype-jts__1416f1af06,bedatadriven_jackson-datatype-jts__1416f1af06__src_main_java_com_bedatadriven_jackson_datatype_jts_GeometryDeserializer.java,conflict,textual,TN,dev-match,driver-git
pos,bguerout_jongo__3aaaf0e4c7,bguerout_jongo__3aaaf0e4c7__src_main_java_org_jongo_Jongo.java,clean,,FP,test-label,driver-mergiraf
pos,blockchain_api-v1-client-java__abdf54e6ab,blockchain_api-v1-client-java__abdf54e6ab__src_main_java_info_blockchain_api_HttpClient.java,clean,,FP,test-label,driver-mergiraf
pos,blockchain_api-v1-client-java__e349598f95,blockchain_api-v1-client-java__e349598f95__src_main_java_info_blockchain_api_HttpClient.java,clean,,FP,test-label,driver-mergiraf
pos,buddycloud_buddycloud-server-java__33ec3ec7cd,buddycloud_buddycloud-server-java__33ec3ec7cd__src_main_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_set_UnsubscribeSet.java,clean,,FP,test-label,driver-git
pos,buddycloud_buddycloud-server-java__33ec3ec7cd,buddycloud_buddycloud-server-java__33ec3ec7cd__src_test_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_set_UnsubscribeSetTest.java,clean,,FP,test-label,driver-git
pos,buddycloud_buddycloud-server-java__43c8b054e9,buddycloud_buddycloud-server-java__43c8b054e9__src_main_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_set_NodeDelete.java,clean,,FP,test-label,driver-mergiraf
pos,buddycloud_buddycloud-server-java__43c8b054e9,buddycloud_buddycloud-server-java__43c8b054e9__src_test_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_get_SubscriptionsGetTest.java,clean,,FP,test-label,driver-mergiraf
pos,buddycloud_buddycloud-server-java__48e4675ee2,buddycloud_buddycloud-server-java__48e4675ee2__src_main_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_get_RepliesGet.java,clean,,FP,test-label,driver-mergiraf
pos,buddycloud_buddycloud-server-java__48e4675ee2,buddycloud_buddycloud-server-java__48e4675ee2__src_test_java_org_buddycloud_channelserver_packetprocessor_iq_namespace_pubsub_get_RepliesGetTest.java,conflict,textual,TN,dev-match,driver-git
pos,buschmais_extended-objects__46ec306cf6,buschmais_extended-objects__46ec306cf6__neo4j_remote_src_main_java_com_buschmais_xo_neo4j_remote_impl_datastore_RemoteDatastoreEntityManager.java,clean,,FP,test-label,driver-mergiraf
pos,camsys_onebusaway-application-modules__915e2f3ffe,camsys_onebusaway-application-modules__915e2f3ffe__onebusaway-transit-data-federation_src_main_java_org_onebusaway_transit_data_federation_impl_beans_StopWithArrivalsAndDeparturesBeanServiceImpl.java,clean,,FP,test-label,driver-git
pos,camsys_onebusaway-application-modules__e779e9fce1,camsys_onebusaway-application-modules__e779e9fce1__onebusaway-transit-data_src_main_java_org_onebusaway_transit_data_model_ArrivalsAndDeparturesQueryBean.java,clean,,FP,test-label,driver-mergiraf
pos,clojure_clojure__77342d2e35,clojure_clojure__77342d2e35__src_jvm_clojure_lang_Compiler.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__80d0a0dff9,cloudfoundry_cf-java-client__80d0a0dff9__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_serviceadmin_DefaultServiceAdmin.java,clean,,FP,test-label,driver-git
pos,cloudfoundry_cf-java-client__933add90ad,cloudfoundry_cf-java-client__933add90ad__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_useradmin_DefaultUserAdmin.java,clean,,FP,test-label,driver-git
pos,cloudfoundry_cf-java-client__9f6b79e294,cloudfoundry_cf-java-client__9f6b79e294__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_applications_DefaultApplications.java,clean,,FP,test-label,driver-git
pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,driver-git
pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__integration-test_src_test_java_org_cloudfoundry_IntegrationTestConfiguration.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_routes_DefaultRoutes.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__integration-test_src_test_java_org_cloudfoundry_operations_RoutesTest.java,clean,,FP,test-label,driver-git
pos,cloudfoundry_cf-java-client__b0add1ef2a,cloudfoundry_cf-java-client__b0add1ef2a__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_services_DefaultServices.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor__DefaultConnectionContext.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor_util_DefaultSslCertificateTruster.java,clean,,FP,test-label,driver-mergiraf
pos,cloudfoundry_cf-java-client__eb3b2f5beb,cloudfoundry_cf-java-client__eb3b2f5beb__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,driver-git
pos,cloudslang_score__66ba4f51e3,cloudslang_score__66ba4f51e3__score-api_src_main_java_io_cloudslang_score_lang_ExecutionRuntimeServices.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,comatoes_ftl-profile-editor__e87fe65818,comatoes_ftl-profile-editor__e87fe65818__src_main_java_net_blerf_ftl_parser_SavedGameParser.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,cribbstechnologies_java-mandrill-wrapper__0cf79745f1,cribbstechnologies_java-mandrill-wrapper__0cf79745f1__src_main_java_com_cribbstechnologies_clients_mandrill_model_MandrillMessage.java,conflict,textual,TN,dev-match,driver-git
